times,nn_ft,nf_ft,nn_st,nf_st
0.0,1.0000000000000009,0.9999999999999989,2.5516321361258383e-16,7.3728010995686775e-16
0.01,0.9960723143237145,0.992115527740081,-1.278029834094487e-5,0.01564752078550024
0.02,0.9843122322005944,0.9688742151914971,1.0345548948855978e-5,0.051517357482652765
0.03,0.9650353866531551,0.9312920555049882,7.603965225086618e-6,0.10130621797614701
0.04,0.9386117706097975,0.8809402518251679,2.0695607731389573e-5,0.16160865434812205
0.05,0.9056279131066299,0.8200467591486663,2.022061406965448e-5,0.22985588421610376
0.06,0.8667659741399325,0.7510090744684931,1.5215852179292297e-5,0.30415208759055734
0.07,0.8228229621493721,0.6765175752381617,-6.155431739808082e-6,0.38289029921715656
0.08,0.7745978445887038,0.5992527364069887,4.1406993350395724e-5,0.46458911213872206
0.09,0.7231347128737201,0.5218627977635311,2.6411011644448777e-5,0.5479936335792343
0.1,0.669311879720319,0.4465533691757363,4.0452905309301725e-5,0.6320219434626038
0.11,0.614115207547635,0.37532499328308155,5.331816910235469e-5,0.7155374417073973
0.12,0.558488513421929,0.30960100483171415,3.04584654008412e-5,0.7975378710657752
0.13,0.5032727532292909,0.25050142453823904,4.239124464405233e-5,0.8770484475602973
0.14,0.44930446491747045,0.198548428944222,-1.2282326953882305e-5,0.9531576882999774
0.15,0.39724458864774936,0.15390913567412673,2.15638683706198e-6,1.0248408808637082
0.16,0.34769822775007964,0.11644788090438249,8.286095627385604e-5,1.0911068741857204
0.17,0.301249824311918,0.08563673385337453,9.97891423852272e-5,1.1514444222749727
0.18,0.2582571351603231,0.06093586516751103,5.2921783894894326e-5,1.2068401687590882
0.19,0.21894285899161903,0.04155043110278032,6.882718527021911e-5,1.2568480595526883
0.2,0.18348329792235854,0.02678659823440433,8.093628485002504e-5,1.2992806984535559
0.21,0.15193906431060872,0.0159641799725669,6.52301508538706e-5,1.3336789720403577
0.22,0.12421496541585839,0.008444190322350966,0.00010666779482456582,1.3598765137111637
0.23,0.1002181072658595,0.0036880317638567236,2.325833033905447e-5,1.3778261667542555
0.24,0.07972373226584017,0.001256059486198075,6.099541743267737e-5,1.387957914140351
0.25,0.06248995327255291,0.0007574608883610882,4.5320077994594005e-5,1.3909503109484118
0.26,0.048217279043743295,0.001846761699301867,8.48505450585601e-5,1.387808507627766
0.27,0.03660593510772215,0.004180725385669919,-4.131053434337734e-5,1.3798794056006285
0.28,0.02726564650506775,0.0074201797891764775,-2.4536476309277305e-5,1.3687336772476955
0.29,0.0199227221224537,0.011212119179059909,1.0917148768598503e-6,1.3560674734106501
0.3,0.014257553974045125,0.01517949629209736,4.353480554403454e-6,1.343671595144845
0.31,0.009964763957650669,0.018945456785720044,-5.537925497514621e-5,1.3330894320507716
0.32,0.006791122656549511,0.022094177531722575,0.00016584684747760625,1.3250400327097003
0.33,0.004505317269827218,0.02446508223511318,0.00018241653597144897,1.327693502347008
0.34,0.002899019649934893,0.025797956492316605,0.00019982433300597702,1.3360211313375432
0.35,0.001803729355696745,0.026002047154030823,0.00030044156577969884,1.3489904211965784
0.36,0.001079447554651592,0.025190725780578967,0.0001058553608057339,1.3668149258027982
0.37,0.0006184190452351907,0.023573473474674644,0.00012075889432643849,1.3890266427059714
0.38,0.00033694801944098387,0.021538332092094863,0.00013764151832079032,1.4166441123452915
0.39,0.00017333643131178095,0.019607245101567587,0.0001436311995723275,1.4446181301001293
0.4,8.320548890732015e-5,0.01837511370087346,0.00016187230473321937,1.4718536921903864
0.41,3.7279331754213016e-5,0.018432721844549176,0.00010267261599879328,1.4971882371363077
0.42,1.4981745184092791e-5,0.02034976455943697,0.00013047055442984884,1.5198359290697736
0.43,5.376821714657011e-6,0.024570168143785428,0.00014925655833813255,1.5392303573866335
0.44,1.6276647088047137e-6,0.031389871196267356,0.00021336607631351642,1.5548002263063503
0.45,3.0836931754143173e-7,0.04086440528181071,4.102703562490876e-5,1.5668941112098023
0.46,4.080103015740625e-8,0.05280575210216952,4.6512323494942305e-5,1.5764099679739032
0.47,3.948731256144637e-9,0.06676601020711716,5.263465026959064e-5,1.5818818797543552
0.48,1.705761414180109e-8,0.08213885420027461,0.00012220332888438878,1.5834514718723598
0.49,2.5762136007648677e-8,0.09807311285672378,0.00013759723803191361,1.58645309837057
0.5,1.3799885079431763e-8,0.11370606338961158,9.06654231547571e-5,1.585251085246068
0.51,1.1040162587682452e-8,0.1279670581798737,0.00015013646194897214,1.580141185316329
0.52,1.1623386442469312e-8,0.13998849583372464,0.00016979323988943723,1.5713499577563685
0.53,4.15222869867028e-9,0.14895550730391355,0.00019157874245871536,1.5593339953715013
0.54,5.722142180179852e-8,0.1542930578108479,-8.263803364380193e-5,1.5445106887047884
0.55,3.597132923808798e-7,0.15558021148391207,-1.3894968639840747e-5,1.5276218950806588
0.56,1.566593675585303e-6,0.15280439838255497,-4.9207708966988576e-5,1.509195073015368
0.57,5.442221229355704e-6,0.1461298829609948,-5.471604203714483e-7,1.4901985758698184
0.58,1.5208004424496938e-5,0.13602719984791203,1.9633356799245854e-6,1.4714340082772397
0.59,3.7696918797413334e-5,0.12309318550195854,4.974222438193144e-6,1.4540136355181854
0.6,8.476425375919794e-5,0.1082317077783385,8.73220773857998e-6,1.4385704070553464
0.61,0.00017578735249003868,0.09231394065129989,-0.00010068088330208382,1.4261436249514687
0.62,0.00034108610562999666,0.07619608369393073,-0.00011077036798717275,1.4174347109094292
0.63,0.000622354346605625,0.060701708593681444,-0.000122169451037377,1.414244151665022
0.64,0.0010766130389347048,0.04636926684941329,0.0003320324942069984,1.4115349592309399
0.65,0.0017993782651656081,0.03407804738807268,0.00034849465921563263,1.414015190098087
0.66,0.0028938678803336715,0.023983452412399308,0.00036528816655166863,1.4191205091451962
0.67,0.004497878943830331,0.01621540353503483,0.0003823895504526061,1.4254868276177026
0.68,0.0067805199381200075,0.010756438788259973,0.000400112860576756,1.4324451820760373
0.69,0.009955332583305016,0.007472156159868908,0.0005701115511954902,1.438203365219029
0.7,0.014235923089149963,0.006106798473001356,0.0006013141422793481,1.4424780489747846
0.71,0.01989673821442269,0.0063648185107170645,0.0006332436358967242,1.4449063174211236
0.72,0.0272351082468525,0.0080269498953727,0.00021135891120875594,1.444853014783107
0.73,0.03655679802919329,0.01081406476844112,0.00022582251144249882,1.4425486477227842
0.74,0.048190037731905,0.014591595932351912,0.00024139943135998609,1.444697530040781
0.75,0.06246276199200227,0.01927021760479788,0.0002578358442475247,1.4463467045211775
0.76,0.07969306240686928,0.024836746905658187,0.0002751680637631095,1.4479011660078476
0.77,0.10017546259835676,0.03132885625188442,0.0002934316165963918,1.4563388399707327
0.78,0.12417506808895194,0.03880292848099996,0.00028688304738275905,1.4685301264723518
0.79,0.15187817297616185,0.04727932454446939,0.0003047093099621936,1.4806869310355921
0.8,0.18342580563503,0.05679196348670118,0.00032375077578154364,1.492330684283624
0.81,0.21886845475490482,0.06723423610679981,0.00034372645431352054,1.5033612366622737
0.82,0.25824172442305526,0.07843496273471527,0.00020552989987680806,1.5133969666569391
0.83,0.30124282686457543,0.09005739337075175,0.0002198066481124102,1.5284466807910173
0.84,0.34766618444753133,0.10173530863341163,0.0002610899899402922,1.5550658404240885
0.85,0.397147667704492,0.11298609159126748,0.00027947246428958503,1.581636094179511
0.86,0.4491803316136133,0.12333087686256933,0.0002987700531207528,1.6076515007019063
0.87,0.5030951623943035,0.13227185201905284,0.0003998052712617948,1.6327939875257431
0.88,0.5582844619269294,0.13932332860028404,0.00042698822921922395,1.65687824347477
0.89,0.6141076675844411,0.1441253296310722,7.718174561125239e-5,1.679537000287784
0.9,0.6692947100724175,0.1464195256298323,8.22959445249474e-5,1.7006339085197242
0.91,0.7230995414434063,0.1461062786411493,8.768024137332354e-5,1.7198201804203486
0.92,0.7745674058357719,0.14324141972648957,9.334494719112819e-5,1.736819302319583
0.93,0.8227429783816074,0.13803383187877452,9.930056490688401e-5,1.7513562826384825
0.94,0.8666978237609123,0.13077395273924164,0.00010575511605114433,1.7631517052125454
